order_id,date,time,area,product,category,quantity,price,delivery_time_min,stock_available
1001,29-May,09:30,shastri nagar,milk,dairy,1,20,12,yes
1002,29-May,10:30,jagriti vihar,bread,bakery,2,30,10,no
1003,30-May,11:30,modipuram,egg,dairy,3,40,18,yes
1004,30-May,12:30,ganga nagar,chips,snacks,4,50,14,no
1005,31-May,13:30,saket,cold drinks,beverage,5,60,11,yes
1006,31-May,14:30,shastri nagar,rice,grocery,1,20,12,no
1007,29-May,15:30,jagriti vihar,biscuit,snacks,2,30,10,yes
1008,29-May,16:30,modipuram,juice,beverage,3,40,18,no
1009,30-May,17:30,ganga nagar,butter,dairy,4,50,14,yes
1010,30-May,18:30,saket,maggie,instant food,5,60,11,no
1011,31-May,19:30,shastri nagar,milk,dairy,1,20,12,yes
1012,31-May,20:30,jagriti vihar,bread,bakery,2,30,10,no
1013,29-May,21:30,modipuram,egg,dairy,3,40,18,yes
1014,29-May,22:30,ganga nagar,chips,snacks,4,50,14,no
1015,30-May,23:30,saket,cold drinks,beverage,5,60,11,yes
1016,30-May,00:30,shastri nagar,rice,grocery,1,20,12,no
1017,31-May,01:30,jagriti vihar,biscuit,snacks,2,30,10,yes
1018,31-May,02:30,modipuram,juice,beverage,3,40,18,no
1019,29-May,03:30,ganga nagar,butter,dairy,4,50,14,yes
1020,29-May,04:30,saket,maggie,instant food,5,60,11,no
1021,30-May,05:30,shastri nagar,milk,dairy,1,20,12,yes
1022,30-May,06:30,jagriti vihar,bread,bakery,2,30,10,no
1023,31-May,07:30,modipuram,egg,dairy,3,40,18,yes
1024,31-May,08:30,ganga nagar,chips,snacks,4,50,14,no
1025,29-May,09:30,saket,cold drinks,beverage,5,60,11,yes
1026,29-May,10:30,shastri nagar,rice,grocery,1,20,12,no
1027,30-May,11:30,jagriti vihar,biscuit,snacks,2,30,10,yes
1028,30-May,12:30,modipuram,juice,beverage,3,40,18,no
1029,31-May,13:30,ganga nagar,butter,dairy,4,50,14,yes
1030,31-May,14:30,saket,maggie,instant food,5,60,11,no
1031,29-May,15:30,shastri nagar,milk,dairy,1,20,12,yes
1032,29-May,16:30,jagriti vihar,bread,bakery,2,30,10,no
1033,30-May,17:30,modipuram,egg,dairy,3,40,18,yes
1034,30-May,18:30,ganga nagar,chips,snacks,4,50,14,no
1035,31-May,19:30,saket,cold drinks,beverage,5,60,11,yes
1036,31-May,20:30,shastri nagar,rice,grocery,1,20,12,no
1037,29-May,21:30,jagriti vihar,biscuit,snacks,2,30,10,yes
1038,29-May,22:30,modipuram,juice,beverage,3,40,18,no
1039,30-May,23:30,ganga nagar,butter,dairy,4,50,14,yes
1040,30-May,00:30,saket,maggie,instant food,5,60,11,no
1041,31-May,01:30,shastri nagar,milk,dairy,1,20,12,yes
1042,31-May,02:30,jagriti vihar,bread,bakery,2,30,10,no
1043,29-May,03:30,modipuram,egg,dairy,3,40,18,yes
1044,29-May,04:30,ganga nagar,chips,snacks,4,50,14,no
1045,30-May,05:30,saket,cold drinks,beverage,5,60,11,yes
1046,30-May,06:30,shastri nagar,rice,grocery,1,20,12,no
1047,31-May,07:30,jagriti vihar,biscuit,snacks,2,30,10,yes
1048,31-May,08:30,modipuram,juice,beverage,3,40,18,no
1049,29-May,09:30,ganga nagar,butter,dairy,4,50,14,yes
1050,29-May,10:30,saket,maggie,instant food,5,60,11,no
1051,30-May,11:30,shastri nagar,milk,dairy,1,20,12,yes
1052,30-May,12:30,jagriti vihar,bread,bakery,2,30,10,no
1053,31-May,13:30,modipuram,egg,dairy,3,40,18,yes
1054,31-May,14:30,ganga nagar,chips,snacks,4,50,14,no
1055,29-May,15:30,saket,cold drinks,beverage,5,60,11,yes
1056,29-May,16:30,shastri nagar,rice,grocery,1,20,12,no
1057,30-May,17:30,jagriti vihar,biscuit,snacks,2,30,10,yes
1058,30-May,18:30,modipuram,juice,beverage,3,40,18,no
1059,31-May,19:30,ganga nagar,butter,dairy,4,50,14,yes
1060,31-May,20:30,saket,maggie,instant food,5,60,11,no
1061,29-May,21:30,shastri nagar,milk,dairy,1,20,12,yes
1062,29-May,22:30,jagriti vihar,bread,bakery,2,30,10,no
1063,30-May,23:30,modipuram,egg,dairy,3,40,18,yes
1064,30-May,00:30,ganga nagar,chips,snacks,4,50,14,no
1065,31-May,01:30,saket,cold drinks,beverage,5,60,11,yes
1066,31-May,02:30,shastri nagar,rice,grocery,1,20,12,no
1067,29-May,03:30,jagriti vihar,biscuit,snacks,2,30,10,yes
1068,29-May,04:30,modipuram,juice,beverage,3,40,18,no
1069,30-May,05:30,ganga nagar,butter,dairy,4,50,14,yes
1070,30-May,06:30,saket,maggie,instant food,5,60,11,no
1071,31-May,07:30,shastri nagar,milk,dairy,1,20,12,yes
1072,31-May,08:30,jagriti vihar,bread,bakery,2,30,10,no
1073,29-May,09:30,modipuram,egg,dairy,3,40,18,yes
1074,29-May,10:30,ganga nagar,chips,snacks,4,50,14,no
1075,30-May,11:30,saket,cold drinks,beverage,5,60,11,yes
1076,30-May,12:30,shastri nagar,rice,grocery,1,20,12,no
